a_id,role,is_bot,is_control,a_totalhit,a_start,a_last
1410048010,bot_hp,True,False,13.0,2021-01-15,2022-09-12
1410048217,bot_hp,True,False,9.0,2021-01-15,2022-09-30
1410048233,bot_hp,True,False,7.0,2021-01-15,2022-08-17
1410048280,bot_hp,True,False,7.0,2021-01-15,2021-03-13
1410048727,bot_hp,True,False,15.0,2021-01-15,2022-09-29
1410048894,bot_hp,True,False,9.0,2021-01-15,2022-09-30
1410049083,bot_hp,True,False,11.0,2021-01-15,2022-09-12
1410049190,bot_hp,True,False,11.0,2021-01-15,2023-02-20
1410049217,bot_hp,True,False,7.0,2021-01-15,2023-02-26
1410049465,bot_hp,True,False,8.0,2021-01-15,2023-01-18
1410049648,bot_hp,True,False,5.0,2021-01-15,2023-01-12
1410049652,bot_hp,True,False,13.0,2021-01-15,2023-02-21
1410050329,bot_hp,True,False,7.0,2021-01-15,2022-08-05
1410051139,bot_hp,True,False,7.0,2021-01-15,2022-12-27
1410051634,bot_hp,True,False,9.0,2021-01-15,2022-09-30
1410052110,bot_hp,True,False,8.0,2021-01-15,2022-07-26
1410052177,bot_hp,True,False,10.0,2021-01-15,2023-01-13
1410052255,bot_hp,True,False,11.0,2021-01-15,2023-02-21
1410052257,bot_hp,True,False,7.0,2021-01-15,2022-08-03
1410052567,bot_hp,True,False,15.0,2021-01-15,2023-02-20
1410053277,bot_hp,True,False,6.0,2021-01-15,2022-09-12
1410053474,bot_hp,True,False,7.0,2021-01-15,2022-04-24
1410053564,bot_hp,True,False,8.0,2021-01-15,2023-02-20
1410053694,bot_hp,True,False,8.0,2021-01-15,2022-08-05
1410053876,bot_hp,True,False,132.0,2021-01-15,2023-02-26
1410053960,bot_hp,True,False,9.0,2021-01-15,2023-02-20
1410054424,bot_hp,True,False,4.0,2021-01-15,2022-05-10
1410054438,bot_hp,True,False,6.0,2021-01-15,2022-07-07
1410054525,bot_hp,True,False,6.0,2021-01-15,2022-08-05
1410054630,bot_hp,True,False,10.0,2021-01-15,2023-01-13
1410054911,bot_hp,True,False,4.0,2021-01-15,2023-01-13
1410055085,bot_hp,True,False,15.0,2021-01-15,2023-01-13
1410055232,bot_hp,True,False,6.0,2021-01-15,2023-02-20
1410069878,bot_hp,True,False,2651.0,2021-01-15,2023-02-13
1410256919,bot_hp,True,False,3553.0,2021-01-15,2022-05-26
1410278638,bot_hp,True,False,19.0,2021-01-15,2022-07-12
1410288929,bot_hp,True,False,50.0,2021-01-15,2021-10-18
1410300071,bot_hp,True,False,122.0,2021-01-15,2022-09-14
1410408780,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410408834,bot_hp,True,False,10.0,2021-01-15,2022-09-18
1410408838,bot_hp,True,False,10.0,2021-01-15,2022-09-18
1410408848,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409031,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409070,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409076,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409108,bot_hp,True,False,10.0,2021-01-15,2022-09-18
1410409112,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409114,bot_hp,True,False,10.0,2021-01-15,2022-09-18
1410409321,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409470,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409719,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410409910,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410016,bot_hp,True,False,15.0,2021-01-15,2022-09-18
1410410055,bot_hp,True,False,35.0,2021-01-15,2022-09-18
1410410069,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410175,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410338,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410355,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410420,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410627,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410735,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410762,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410410764,bot_hp,True,False,5.0,2021-01-15,2022-09-18
1410485258,bot_hp,True,False,1413.0,2021-01-15,2023-01-24
1410534620,ctrl_hpneg,False,True,82.0,2021-01-15,2021-04-08
1410560114,labeled_pothuman,False,True,1443075.0,2021-01-15,2023-03-05
1410663161,bot_hp,True,False,107.0,2021-01-15,2021-08-02
1410664011,bot_hp,True,False,135.0,2021-01-15,2021-12-10
1410685564,bot_hp,True,False,1222.0,2021-01-15,2021-08-16
1410691528,bot_hp,True,False,7176.0,2021-01-15,2022-12-21
1410692301,ctrl_hpneg,False,True,839.0,2021-01-15,2022-09-02
1410697485,bot_hp,True,False,2609.0,2021-01-15,2021-10-20
1410721124,bot_hp,True,False,1005.0,2021-01-15,2023-01-26
1410856955,bot_hp,True,False,4400.0,2021-01-15,2023-02-19
1411060826,bot_hp,True,False,896.0,2021-01-15,2021-11-21
1411061360,bot_hp,True,False,28.0,2021-01-15,2022-04-27
1411074092,bot_hp,True,False,15.0,2021-01-15,2023-02-18
1411112489,ctrl_hpneg,False,True,421.0,2021-01-15,2023-03-01
1411149690,bot_hp,True,False,2259.0,2021-01-15,2022-10-02
1411153714,bot_hp,True,False,9234.0,2021-01-15,2023-03-02
1411192451,labeled_pothuman,False,True,95704.0,2021-01-15,2023-02-28
1411194358,ctrl_white,False,True,,2021-01-15,2021-05-14
1411210129,labeled_bot,True,False,838503.0,2021-01-15,2021-04-11
1411215712,bot_hp,True,False,198.0,2021-01-15,2023-01-12
1411236648,bot_hp,True,False,351.0,2021-01-15,2023-02-11
1411293043,bot_hp,True,False,6105.0,2021-01-15,2022-06-05
1411297245,bot_hp,True,False,482.0,2021-01-15,2023-03-01
1411425664,bot_hp,True,False,1217.0,2021-01-15,2023-02-26
1411430218,bot_hp,True,False,743.0,2021-01-15,2022-04-29
1411739501,bot_hp,True,False,10.0,2021-01-15,2021-04-16
1411740727,bot_hp,True,False,4.0,2021-01-15,2021-03-08
1411743022,bot_hp,True,False,14.0,2021-01-15,2022-04-27
1412225682,bot_hp,True,False,3666.0,2021-01-15,2023-01-25
1412263645,bot_hp,True,False,4064.0,2021-01-15,2023-03-05
1412470110,bot_hp,True,False,2542.0,2021-01-15,2022-06-25
1412508635,bot_hp,True,False,1294.0,2021-01-15,2023-02-28
1412512208,bot_hp,True,False,1877.0,2021-01-15,2023-01-20
1412554520,bot_hp,True,False,10.0,2021-01-15,2021-01-31
1412570659,bot_hp,True,False,924.0,2021-01-15,2023-02-28
1412583709,bot_hp,True,False,322.0,2021-01-15,2021-12-13
1412640700,bot_hp,True,False,11949.0,2021-01-15,2023-03-03
1412951958,bot_hp,True,False,1964.0,2021-01-15,2022-12-28
1413009918,bot_hp,True,False,2563.0,2021-01-15,2023-03-04
1413024006,bot_hp,True,False,506.0,2021-01-15,2022-03-31
1413065058,bot_hp,True,False,531.0,2021-01-15,2023-03-05
1413065534,bot_hp,True,False,13177.0,2021-01-15,2023-03-05
1413076143,bot_hp,True,False,418.0,2021-01-15,2021-09-29
1413185258,bot_hp,True,False,2252.0,2021-01-15,2022-08-09
1413383493,bot_hp,True,False,456.0,2021-01-15,2022-08-11
1413538824,bot_hp,True,False,3054.0,2021-01-15,2023-01-18
1413623139,bot_hp,True,False,1978.0,2021-01-15,2023-02-05
1413789100,bot_hp,True,False,459.0,2021-01-15,2023-02-05
1413813046,bot_hp,True,False,6563.0,2021-01-15,2022-09-02
1414188539,bot_hp,True,False,721.0,2021-01-15,2022-09-04
1414221141,bot_hp,True,False,83.0,2021-01-15,2021-05-20
1414257272,bot_hp,True,False,8666.0,2021-01-15,2023-02-19
1414301209,ctrl_hpneg,False,True,53.0,2021-01-15,2021-10-13
1414345660,bot_hp,True,False,2873.0,2021-01-15,2023-02-18
1414370846,bot_hp,True,False,415.0,2021-01-15,2021-12-07
1414412093,ctrl_hpneg,False,True,10.0,2021-01-15,2021-01-24
1414438642,bot_hp,True,False,240.0,2021-01-15,2021-06-17
1417253430,labeled_pothuman,False,True,500394.0,2021-01-15,2023-03-03
1417256143,ctrl_hpneg,False,True,124.0,2021-01-15,2021-07-03
1417260411,bot_hp,True,False,1494.0,2021-01-15,2022-07-22
1417297960,labeled_bot,True,False,3543175.0,2021-01-16,2023-03-03
1417315845,bot_hp,True,False,200.0,2021-01-16,2021-07-19
1417340071,bot_hp,True,False,575.0,2021-01-16,2023-03-02
1417423574,bot_hp,True,False,1334.0,2021-01-16,2021-08-07
1417443012,bot_hp,True,False,1638.0,2021-01-16,2022-09-20
1417954839,bot_hp,True,False,459.0,2021-01-16,2022-08-26
1418010430,bot_hp,True,False,19500.0,2021-01-16,2023-03-04
1418305785,bot_hp,True,False,8.0,2021-01-16,2022-04-24
1418306182,bot_hp,True,False,11.0,2021-01-16,2023-02-20
1418306259,bot_hp,True,False,6.0,2021-01-16,2023-02-24
1418306273,bot_hp,True,False,14.0,2021-01-16,2023-02-20
1418306373,bot_hp,True,False,11.0,2021-01-16,2023-01-12
1418306952,bot_hp,True,False,7.0,2021-01-16,2023-02-20
1418308415,bot_hp,True,False,136.0,2021-01-16,2023-02-21
1418308507,bot_hp,True,False,5.0,2021-01-16,2023-02-20
1418308530,bot_hp,True,False,11.0,2021-01-16,2022-03-21
1418308970,bot_hp,True,False,6.0,2021-01-16,2022-07-06
1418309132,bot_hp,True,False,7.0,2021-01-16,2023-02-20
1418309204,bot_hp,True,False,8.0,2021-01-16,2022-08-17
1418309225,bot_hp,True,False,12.0,2021-01-16,2022-05-02
1418309295,bot_hp,True,False,9.0,2021-01-16,2022-08-05
1418309880,bot_hp,True,False,622.0,2021-01-16,2023-01-04
1418361337,bot_hp,True,False,2943.0,2021-01-16,2023-03-05
1418758024,bot_hp,True,False,51.0,2021-01-16,2022-12-16
1418769101,labeled_chrome,False,True,150948.0,2021-01-16,2023-02-20
1418918196,bot_hp,True,False,706.0,2021-01-16,2022-07-11
1418946713,labeled_chrome,False,True,149012.0,2021-01-16,2023-02-20
1418972857,bot_hp,True,False,1099.0,2021-01-16,2022-05-10
1418978929,bot_hp,True,False,192.0,2021-01-16,2022-02-09
1418981383,bot_hp,True,False,8676.0,2021-01-16,2022-10-05
1418982164,labeled_pothuman,False,True,12032.0,2021-01-16,2022-07-26
1418982389,bot_hp,True,False,320.0,2021-01-16,2022-07-02
1419001160,bot_hp,True,False,307.0,2021-01-16,2021-08-27
1419028556,bot_hp,True,False,564.0,2021-01-16,2021-10-18
1419033026,bot_hp,True,False,1610.0,2021-01-16,2022-07-25
1419043042,labeled_pothuman,False,True,84433.0,2021-01-16,2023-03-04
1419049231,bot_hp,True,False,4418.0,2021-01-16,2022-01-12
1419072181,bot_hp,True,False,22518.0,2021-01-16,2023-02-13
1419077969,ctrl_hpneg,False,True,393.0,2021-01-16,2023-01-25
1419116648,bot_hp,True,False,279.0,2021-01-16,2022-06-04
1419371905,bot_hp,True,False,10.0,2021-01-16,2021-03-08
1419376696,bot_hp,True,False,233.0,2021-01-16,2023-03-01
1419416946,ctrl_hpneg,False,True,2.0,2021-01-16,2021-11-27
1419485270,bot_hp,True,False,1395.0,2021-01-16,2023-02-26
1419499228,ctrl_hpneg,False,True,76.0,2021-01-16,2021-10-12
1419503497,bot_hp,True,False,583.0,2021-01-16,2021-10-07
1419525173,bot_hp,True,False,1739.0,2021-01-16,2023-01-25
1419566047,bot_hp,True,False,2418.0,2021-01-16,2022-02-02
1419953055,bot_hp,True,False,1407.0,2021-01-16,2022-08-06
1420075506,bot_hp,True,False,11.0,2021-01-16,2021-04-16
1420081989,ctrl_hpneg,False,True,68.0,2021-01-16,2021-05-05
1420647442,bot_hp,True,False,5243.0,2021-01-16,2023-03-03
1420659062,bot_hp,True,False,6284.0,2021-01-16,2022-12-16
1420689112,labeled_chrome,False,True,34025.0,2021-01-16,2023-03-02
1420690236,ctrl_hpneg,False,True,122.0,2021-01-16,2021-05-05
1420772567,bot_hp,True,False,422.0,2021-01-16,2022-01-07
1420773307,bot_hp,True,False,3841.0,2021-01-16,2022-09-21
1420782019,bot_hp,True,False,1142.0,2021-01-16,2023-02-27
1420801064,bot_hp,True,False,317.0,2021-01-16,2021-07-20
1421088386,bot_hp,True,False,32.0,2021-01-16,2021-04-18
1421268869,ctrl_hpneg,False,True,2718.0,2021-01-16,2022-04-27
1421284566,bot_hp,True,False,215.0,2021-01-16,2023-01-04
1421288593,bot_hp,True,False,8.0,2021-01-16,2021-05-18
1421336372,ctrl_hpneg,False,True,72.0,2021-01-16,2021-04-02
1421368948,bot_hp,True,False,27491.0,2021-01-16,2023-03-02
1421375322,bot_hp,True,False,5151.0,2021-01-16,2022-04-08
1421375600,bot_hp,True,False,1178.0,2021-01-16,2022-12-22
