a_id,group,density,active_responder,active_post_lag,active_pre_lag,active_post_ccf,calendar_responder,calendar_post_lag,calendar_pre_lag,calendar_post_ccf
77335,abusive,0.06056236481614996,False,14.0,-4.0,0.18386872009568275,False,6.0,-10.0,0.028101738916150882
79132,abusive,0.07006369426751592,True,12.0,-14.0,0.2076626523388653,False,4.0,-10.0,0.16044716394199507
80281,abusive,0.22308781869688385,True,13.0,-2.0,0.1827283080702899,False,12.0,-8.0,0.08622730399634039
81515,abusive,0.15916398713826366,False,2.0,-8.0,0.257329780514703,False,2.0,-5.0,0.2792121693767621
83323,abusive,0.3333333333333333,True,14.0,-1.0,-0.14228495920252746,False,5.0,-12.0,0.13181438022586492
83651,abusive,0.7227036395147314,True,8.0,-4.0,0.07191093850940539,True,9.0,-4.0,0.07251114668190707
83654,abusive,0.631503920171062,False,10.0,-1.0,-0.018324462133409866,False,12.0,-1.0,-0.011397054665411232
85375,abusive,0.6878571428571428,True,8.0,-3.0,0.08043067459635148,True,2.0,-3.0,0.059440837886110084
86200,abusive,0.06854256854256854,True,11.0,-10.0,0.1514392455449711,False,14.0,-3.0,-0.005136432679445949
86976,abusive,0.13626373626373625,False,1.0,-7.0,-0.12759919005864997,True,14.0,-5.0,-0.015599063694272065
87194,abusive,0.4263233190271817,False,2.0,-3.0,0.04690497213445836,False,2.0,-8.0,0.06242792939576986
87582,abusive,0.5884450784593438,False,10.0,-8.0,0.0780989610884764,False,10.0,-6.0,-0.015555594060157163
89301,abusive,0.38355167394468703,False,4.0,-4.0,0.42080613407470463,True,14.0,-14.0,0.42260468788145494
89399,abusive,0.39443651925820256,False,1.0,-2.0,0.09998989077665595,True,1.0,-11.0,0.12665052259784695
89625,abusive,0.3730385164051355,False,8.0,-1.0,0.07012567544644364,False,11.0,-7.0,0.11101381836396879
93910,abusive,0.06928571428571428,True,13.0,-1.0,0.15868788633375133,False,3.0,-1.0,0.16745656972132653
95540,abusive,0.07553956834532374,True,4.0,-2.0,0.15354964608049698,True,6.0,-7.0,0.029268985564466436
95595,abusive,0.16165951359084407,True,2.0,-5.0,0.19655404575187355,True,4.0,-13.0,0.2200659259193109
95620,abusive,0.09363831308077197,True,8.0,-13.0,-0.153963956588745,False,5.0,-1.0,0.037969496339046525
95648,abusive,0.19442458899213724,False,1.0,-4.0,-0.10976356806724068,False,12.0,-9.0,0.02949424311841689
96054,abusive,0.6325947105075054,True,12.0,-9.0,0.15701154475498375,False,1.0,-3.0,0.0331684329940587
97239,abusive,0.605865522174535,True,14.0,-2.0,0.05171398876591362,False,1.0,-5.0,0.025237086986035457
97240,abusive,0.5765379113018598,True,10.0,-6.0,0.10371206118822114,True,5.0,-6.0,0.06295209069756873
98905,abusive,0.5722460658082976,False,7.0,-3.0,0.08912439891878861,True,9.0,-1.0,0.15472088189785116
98928,abusive,0.5758226037195995,True,8.0,-11.0,0.11203451129453185,True,11.0,-9.0,0.08443314563149619
98989,abusive,0.376967095851216,False,13.0,-9.0,-0.040373354591145084,False,13.0,-4.0,-0.015276283577827685
99033,abusive,0.2474964234620887,False,6.0,-8.0,-0.07422450648917774,True,1.0,-2.0,0.10677234306406459
99034,abusive,0.21101573676680974,False,1.0,-1.0,0.0971658409220212,False,1.0,-4.0,0.14865603663116417
100575,abusive,0.6299212598425197,False,3.0,-6.0,0.11487073744388492,False,4.0,-10.0,0.15124652683746423
100576,abusive,0.5511811023622047,False,2.0,-13.0,-0.034864553645838875,False,14.0,-7.0,-0.01381741241682738
102398,abusive,0.6363636363636364,True,10.0,-2.0,0.12415316145865293,False,1.0,-6.0,0.016870595586879124
105223,abusive,0.43154121863799283,False,1.0,-13.0,0.14141084379368019,False,11.0,-11.0,0.09519542064691398
105842,abusive,0.6439828080229226,False,6.0,-6.0,0.030388469979254634,False,4.0,-6.0,0.05039174066147203
105843,abusive,0.5659025787965616,True,12.0,-10.0,0.08688303693747954,False,2.0,-5.0,0.04442969965905068
106069,abusive,0.58810888252149,True,4.0,-3.0,0.11630977252639754,False,4.0,-3.0,0.04084141162349552
106095,abusive,0.6396848137535817,False,6.0,-7.0,0.22323818182591074,True,2.0,-4.0,0.10911791758193219
106861,abusive,0.07332854061826025,True,13.0,-11.0,0.16598164800525136,False,7.0,-9.0,0.06704608231757113
108440,abusive,0.07509025270758123,True,14.0,-10.0,0.24141466077942966,False,1.0,-1.0,0.03477789410549341
109493,abusive,0.053237410071942444,False,1.0,-14.0,-0.09438340419896848,False,7.0,-14.0,-0.004537718024693519
110225,abusive,0.5882352941176471,True,8.0,-4.0,0.15760864067663322,True,13.0,-4.0,0.1688338867222841
111114,abusive,0.06752873563218391,True,14.0,-11.0,0.19262072375624303,False,1.0,-10.0,0.06701606895595638
111768,abusive,0.3836615609044493,True,3.0,-7.0,0.38322085236642167,True,6.0,-7.0,0.3078076630138228
111835,abusive,0.1370309951060359,False,8.0,-1.0,0.22909511209962968,False,8.0,-2.0,0.23777232784146476
113205,abusive,0.06839452843772498,False,1.0,-14.0,-0.12311213658538578,False,7.0,-14.0,-0.007466365508467949
113273,abusive,0.05998536942209217,False,10.0,-7.0,-0.14158242024560716,False,1.0,-14.0,0.07053894517347717
113300,abusive,0.5979899497487438,False,6.0,-5.0,-0.025487245641078692,False,1.0,-6.0,0.019095224358666472
116281,abusive,0.4321608040201005,False,3.0,-5.0,0.030325500761784332,False,3.0,-1.0,0.04893881313700555
116372,abusive,0.5750179468772434,False,6.0,-7.0,-0.06514861121822299,False,14.0,-7.0,-0.03732108395267246
116373,abusive,0.6432160804020101,True,11.0,-5.0,0.17939748916062595,False,2.0,-5.0,0.092714207991659
