a_id,group,n_days,n_block_days,p404_post_lag,p404_post_ccf,p404_pre_lag,p404_pre_ccf,p404_responder,vol_post_lag,vol_post_ccf,vol_pre_lag,vol_pre_ccf,vol_responder
1394355135,bot,138,3,9.0,0.41240302190260514,-10.0,0.1182915092308461,True,4,0.23040302307007046,-4,0.18386422670666602,True
1394364152,bot,196,12,2.0,0.17420197311750102,-14.0,0.46012333564866753,False,1,0.11700781474879174,-10,0.217666683012205,False
1394366092,control,463,7,13.0,-0.015233289125989006,-11.0,-0.016262755796865994,False,2,-0.08745455397521772,-11,0.06626409573174202,True
1394373887,control,585,31,3.0,0.21446694808001748,-7.0,0.10800059458182726,True,2,-0.11640570608890151,-2,-0.09773044924171846,True
1394379623,bot,66,10,4.0,0.5184618041618828,-3.0,0.4704516109658754,True,14,-0.3622860085687764,-5,0.3185052606965101,True
1394388460,bot,79,3,4.0,0.23910067191106807,-13.0,0.26867806876612454,False,9,0.25151191460130135,-11,0.24356439751282902,True
1394415656,bot,614,10,11.0,0.046989242371678494,-6.0,0.05508081049698357,False,5,-0.06637014991390455,-5,-0.05943798906078737,True
1394521477,bot,617,13,8.0,0.11403963675071528,-1.0,0.0521605970455551,True,9,0.0962239508438565,-8,0.15917607014161525,False
1395591271,bot,179,4,14.0,0.2790220477119043,-6.0,0.16847998498088973,True,10,0.12904245123860872,-13,-0.08403508713535685,True
1395605461,bot,126,5,1.0,0.17253680056173848,-1.0,0.19226270636421847,False,5,0.1524136636488101,-4,-0.22622532390353867,False
1395618952,control,318,29,2.0,0.3716698073774779,-6.0,0.1473654561526704,True,1,0.11802760347316331,-4,-0.08589402883873185,True
1395635299,bot,249,9,8.0,0.1541004546586535,-13.0,0.04007851813195739,True,2,-0.1386067655025638,-11,0.23071428570225003,False
1395747899,bot,101,3,4.0,0.0828018501027714,-2.0,0.3710488416273479,False,13,0.13379660400043322,-1,0.1452422948807858,False
1395918803,bot,615,19,12.0,0.13551954589910178,-3.0,0.07379628875207712,True,10,-0.06521804609747059,-3,-0.07121592949360954,False
1396014786,control,137,16,2.0,0.2679905678309798,-4.0,0.1844221870993275,True,5,0.3547682048027818,-9,0.2063546980163842,True
1396042401,bot,61,3,11.0,0.22209846480639667,-2.0,-0.07586159117156224,True,14,-0.2015037983258658,-3,0.13149958662617606,True
1396153049,control,560,27,9.0,0.14958845132104634,-8.0,0.15517988774312363,False,2,0.06829784641392264,-1,0.0705752240205386,False
1396156516,bot,368,3,13.0,0.08945317227267749,-10.0,0.08979273164592266,False,14,0.06374996583820647,-9,0.12764685650996138,False
1396202837,bot,230,8,8.0,0.054768431754652167,-4.0,-0.01784120794432461,True,9,0.09257157599431216,-11,0.11051712214378294,False
