a_id,t_death,pre_vol,tail_vol
349526,2022-09-13,92.4,5.333333333333333
1466075405,2022-01-27,117.0,29.4
80460,2021-10-31,631.6,78.11904761904762
633107526,2023-02-14,67.0,13.666666666666666
1178235886,2022-02-28,15.0,2.6842105263157894
1603880579,2021-06-08,85.4,37.833333333333336
1607683827,2023-02-12,28.6,1.0
1392116613,2021-05-22,240.8,59.30927835051546
189812,2022-05-10,282.6,11.6
186134,2022-09-16,17.0,1.0
1709856806,2022-06-26,55.4,26.0
129444,2022-05-15,29.8,8.792857142857143
62416,2021-04-29,8.2,2.230769230769231
182452,2022-08-22,87.0,1.0
237734,2021-07-02,24.0,11.644144144144144
62849591,2020-01-21,79.6,3.2235649546827796
2006041008,2021-05-12,157.6,11.765765765765765
1914009337,2021-04-15,77.8,1.5
463551580,2020-04-25,32.6,2.0
606467801,2020-07-01,6.2,1.1666666666666667
133626,2021-05-30,151.0,22.936507936507937
297537,2022-05-16,36.0,7.292517006802721
978568189,2020-08-18,17.8,4.3
413973313,2020-04-02,242.6,6.779467680608365
232592,2020-07-25,115.6,15.35483870967742
551169972,2020-05-08,286.0,7.331950207468879
1430177515,2022-01-15,62.0,27.25
294971673,2020-03-06,84.0,3.505050505050505
1134754849,2020-09-10,278.8,17.37410071942446
1869583635,2021-04-09,211.6,68.81481481481481
752173492,2022-08-11,27.4,3.0
626421007,2021-04-04,310.6,64.42748091603053
42986,2020-09-01,117.2,14.953846153846154
460126189,2020-04-19,84.6,16.82
949354082,2022-05-02,164.8,2.0
836613097,2020-07-21,56.6,6.379110251450677
1392142494,2021-01-25,11.2,3.760180995475113
626011484,2021-09-29,63.6,14.0
1326445634,2022-05-15,31.0,8.359712230215827
150457,2019-08-25,9.8,2.460674157303371
1583260,2022-01-05,9.8,2.0
339325,2022-04-23,69.0,8.0
132522,2020-07-27,50.0,5.188888888888889
405220602,2020-04-04,31.6,5.315789473684211
140761,2020-07-20,141.8,45.63970588235294
221503039,2021-04-15,7.2,1.4545454545454546
2052952045,2022-07-26,154.4,66.66666666666667
1570656158,2022-12-13,89.6,26.5
1995325931,2021-10-07,125.4,33.544871794871796
59446,2021-04-29,25.4,7.6
48580,2019-07-07,94.2,7.586206896551724
458183426,2020-04-18,24.4,1.5779816513761469
1401539348,2021-03-13,5.2,2.1714285714285713
1392164660,2021-07-14,776.8,96.63829787234043
127695,2022-10-02,7.6,2.1515151515151514
1599453163,2021-05-06,356.4,23.71794871794872
2004961675,2021-04-09,162.2,49.13333333333333
129463785,2020-02-13,268.2,9.352941176470589
316825,2019-10-10,57.0,2.8703703703703702
188632,2019-07-17,71.6,11.76
1494402178,2021-04-11,185.6,53.44444444444444
803754573,2020-07-16,66.0,9.274725274725276
183531,2019-07-21,18.6,9.054347826086957
1542755382,2021-05-13,127.6,48.21875
1066824487,2022-04-06,62.0,18.0
469182,2022-05-05,20.2,2.2857142857142856
807743785,2021-06-04,31.8,10.931034482758621
729880215,2020-07-29,34.0,2.462068965517241
211133440,2022-04-07,11.8,1.0
1602600535,2021-05-13,134.4,53.6
1881604342,2021-04-15,145.4,41.0
1098321452,2020-08-30,173.6,15.068702290076336
1210484354,2020-09-21,81.0,21.5
1061078628,2020-08-28,294.8,39.02923976608187
91579,2021-01-15,72.6,33.19090909090909
605669054,2020-05-28,9.4,1.4326923076923077
1392279714,2022-01-28,174.0,24.666666666666668
2015441497,2021-09-28,254.4,38.861111111111114
1992388212,2021-04-29,88.0,7.25
2008073453,2021-04-06,564.4,124.5
713737733,2022-09-30,139.4,41.0
939953042,2020-08-27,5.0,2.2974683544303796
86384,2020-04-25,34.2,2.909090909090909
42009,2023-03-04,21.0,2.0
577005232,2022-06-02,148.8,43.75
1393229766,2021-02-20,5.8,2.1951219512195124
1843572129,2021-05-19,117.8,41.0
2142866301,2021-05-04,633.4,92.24242424242425
